,#1,#2,#3,#4,#5,#6,#7,#8
185,Biology of Microorganisms Lab,ALS,192,305,001,17,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
186,Biology of Microorganisms Lab,ALS,192,305,002,15,3.933,"[93.3, None, 6.7, None, None, None, None, None, None, None, None, None, None, None, None]"
187,Biology of Microorganisms Lab,ALS,192,305,003,15,3.333,"[66.7, 13.3, 6.7, None, None, None, 13.3, None, None, None, None, None, None, None, None]"
188,Biology of Microorganisms Lab,ALS,192,305,004,15,3.967,"[93.3, 6.7, None, None, None, None, None, None, None, None, None, None, None, None, None]"
189,Critical Analyses-Microbiology,ALS,192,324,003,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
190,Critical Analyses-Microbiology,ALS,192,324,004,10,3.15,"[30.0, 30.0, 20.0, None, 10.0, 10.0, None, None, None, None, None, None, None, None, None]"
191,Food Microbiology,ALS,192,325,001,70,3.087,"[24.3, 8.6, 40.0, 11.4, 14.3, None, None, 1.4, None, None, None, None, None, None, None]"
192,Special Topics,ALS,192,375,002,12,3.917,"[91.7, None, 8.3, None, None, None, None, None, None, None, None, None, None, None, None]"
193,"Divrsty, Ecol&Evolutn-Microorg",ALS,192,450,001,49,3.313,"[44.9, 10.2, 20.4, 10.2, 10.2, 2.0, None, 2.0, None, None, None, None, None, None, None]"
194,Micro Genetics & Mol Machines,ALS,192,470,001,54,2.943,"[20.4, 20.4, 29.6, 13.0, 5.6, 3.7, 5.6, None, None, None, None, None, 1.9, None, None]"
195,Physiol of Microorganisms,ALS,192,526,001,78,3.346,"[44.9, 12.8, 24.4, 5.1, 11.5, 1.3, None, None, None, None, None, None, None, None, None]"
196,Physiol-Microorganisms Lab,ALS,192,527,001,98,3.321,"[32.7, 18.4, 33.7, 11.2, 4.1, None, None, None, None, None, None, None, None, None, None]"
197,Immunology,ALS,192,528,001,56,2.609,"[10.7, 5.4, 44.6, 3.6, 19.6, 12.5, 1.8, None, None, None, None, None, 1.8, None, None]"
198,Advanced Microbial Genetics,ALS,192,607,001,20,3.975,"[95.0, 5.0, None, None, None, None, None, None, None, None, None, None, None, None, None]"
199,Prokaryotic Molecular Biol,ALS,192,612,001,12,3.542,"[41.7, 25.0, 33.3, None, None, None, None, None, None, None, None, None, None, None, None]"
200,Gen Virology-Multiplication,ALS,192,640,001,32,3.063,"[21.9, 15.6, 37.5, 9.4, 12.5, 3.1, None, None, None, None, None, None, None, None, None]"
201,Senior Honors Thesis,ALS,192,681,006,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
202,Senior Thesis,ALS,192,691,098,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
